demonicref,demonicsystemid,demonicid,caseref,demonic_type,demonic_text,createdby,createdate,lastupdatedby,lastupdatedon
DP/JO/177,JO,177,C/LA/2785,Servant,,jhm,2001-07-10T12:04:55,jhm,2001-07-10T12:04:56
DP/JO/178,JO,178,C/LA/2785,Devil's Mark,,jhm,2001-07-10T12:05:29,jhm,2001-07-10T12:05:31
DP/JO/179,JO,179,C/LA/2785,Head and foot,,jhm,2001-07-10T12:05:34,jhm,2001-07-10T12:05:35
DP/JO/180,JO,180,C/EGD/395,Anti-baptism,,jhm,2001-07-10T12:42:56,jhm,2001-07-10T12:42:57
DP/JO/181,JO,181,C/EGD/395,Body and soul,,jhm,2001-07-10T12:43:01,jhm,2001-07-10T12:43:02
DP/JO/182,JO,182,C/EGD/395,Servant,,jhm,2001-07-10T12:43:04,jhm,2001-07-10T12:43:05
DP/JO/183,JO,183,C/EGD/395,Devil's Mark,,jhm,2001-07-10T12:43:09,jhm,2001-07-10T12:43:11
DP/JO/184,JO,184,C/EGD/395,Sex,lay with her,jhm,2001-07-10T12:43:18,jhm,2001-07-11T09:49:53
DP/JO/185,JO,185,C/EGD/397,Anti-baptism,,jhm,2001-07-10T13:00:06,jhm,2001-07-10T13:00:06
DP/JO/186,JO,186,C/EGD/397,Servant,,jhm,2001-07-10T13:00:10,jhm,2001-07-10T13:00:12
DP/JO/187,JO,187,C/EGD/397,Body and soul,,jhm,2001-07-10T13:00:14,jhm,2001-07-10T13:00:14
DP/JO/188,JO,188,C/EGD/397,Head and foot,,jhm,2001-07-10T13:00:16,jhm,2001-07-10T13:00:17
DP/JO/189,JO,189,C/EGD/397,Devil's Mark,,jhm,2001-07-10T13:00:24,jhm,2001-07-10T13:00:25
DP/JO/190,JO,190,C/EGD/396,Paction,,jhm,2001-07-10T15:32:17,jhm,2001-07-10T15:32:18
DP/JO/191,JO,191,C/EGD/396,Servant,,jhm,2001-07-10T15:32:20,jhm,2001-07-10T15:32:20
DP/JO/192,JO,192,C/EGD/396,Anti-baptism,,jhm,2001-07-10T15:32:30,jhm,2001-07-10T15:32:30
DP/JO/193,JO,193,C/EGD/396,Sex,,jhm,2001-07-10T15:32:46,jhm,2001-07-10T15:32:51
DP/JO/194,JO,194,C/EGD/1954,Servant,,jhm,2001-07-10T15:37:07,jhm,2001-07-10T15:39:46
DP/JO/195,JO,195,C/EGD/1954,Devil's Mark,,jhm,2001-07-10T15:39:47,jhm,2001-07-10T15:39:48
DP/JO/196,JO,196,C/EGD/1954,Sex,,jhm,2001-07-10T15:42:13,jhm,2001-07-10T15:42:17
DP/JO/199,JO,199,C/EGD/401,Body and soul,,jhm,2001-07-10T16:09:15,jhm,2001-07-10T16:09:16
DP/JO/200,JO,200,C/EGD/395,Head and foot,,jhm,2001-07-11T09:49:54,jhm,2001-07-11T09:50:01
DP/JO/201,JO,201,C/JO/2832,Servant,,jhm,2001-07-11T10:58:40,jhm,2001-07-11T10:58:42
DP/JO/202,JO,202,C/JO/2832,Anti-baptism,,jhm,2001-07-11T10:58:43,jhm,2001-07-11T10:58:44
DP/JO/203,JO,203,C/JO/2832,Head and foot,,jhm,2001-07-11T10:58:49,jhm,2001-07-11T10:58:50
DP/JO/204,JO,204,C/JO/2832,Sex,,jhm,2001-07-11T10:58:52,jhm,2001-07-11T10:58:53
DP/JO/21,JO,21,C/EGD/2121,tacit pact,servant mentioned by prosecution,jhm,2001-06-05T14:51:30,jhm,2001-06-05T14:53:28
