moveref,movesystemid,moveid,trialref,moveto,moveexists,movedate,movedate_as_date,createdby,createdate,lastupdatedby,lastupdatedon
HLA/LA/224,LA,224,T/JO/375,Presbytery,true,,,LEM,2002-10-29T10:02:12,LEM,2002-10-29T10:02:16
HLA/LA/225,LA,225,T/JO/376,Presbytery,true,,,LEM,2002-10-29T10:03:05,LEM,2002-10-29T10:03:08
HLA/LA/23,LA,23,T/LA/800,Archbishop,true,,,LEM,2001-09-06T16:14:03,LEM,2001-09-06T16:14:10
HLA/LA/235,LA,235,T/JO/2117,Synod,true,,,LEM,2002-10-30T11:18:05,LEM,2002-10-30T11:18:13
HLA/LA/236,LA,236,T/JO/1143,Local magistrate,true,,,LEM,2002-10-31T17:00:49,LEM,2002-10-31T17:00:55
HLA/LA/237,LA,237,T/JO/1142,Local magistrate,true,,,LEM,2002-10-31T17:03:46,LEM,2002-10-31T17:03:49
HLA/LA/238,LA,238,T/JO/1141,Local magistrate,true,,,LEM,2002-10-31T17:05:26,LEM,2002-10-31T17:05:29
HLA/LA/239,LA,239,T/JO/537,Local magistrate,true,,,LEM,2002-11-01T11:31:09,LEM,2002-11-01T11:31:12
HLA/LA/240,LA,240,T/JO/531,Local magistrate,true,,,LEM,2002-11-01T11:38:43,LEM,2002-11-01T11:38:47
HLA/LA/241,LA,241,T/JO/527,Presbytery,true,,,LEM,2002-11-01T14:03:22,LEM,2002-11-01T14:03:25
HLA/LA/242,LA,242,T/JO/532,Local magistrate,true,,,LEM,2002-11-01T14:38:21,LEM,2002-11-01T14:38:26
HLA/LA/243,LA,243,T/JO/533,Local laird,true,,,LEM,2002-11-01T14:39:57,LEM,2002-11-01T14:40:00
HLA/LA/244,LA,244,T/JO/348,Presbytery,true,,,LEM,2002-11-01T15:18:14,LEM,2002-11-01T15:18:15
HLA/LA/245,LA,245,T/JO/345,Local magistrate,true,,,LEM,2002-11-01T15:22:23,LEM,2002-11-01T15:22:28
HLA/LA/246,LA,246,T/JO/344,Local magistrate,true,,,LEM,2002-11-01T15:23:08,LEM,2002-11-01T15:23:12
HLA/LA/247,LA,247,T/JO/328,Local laird,true,,,LEM,2002-11-01T15:30:50,LEM,2002-11-01T15:30:52
HLA/LA/248,LA,248,T/JO/326,Local laird,true,,,LEM,2002-11-01T15:33:28,LEM,2002-11-01T15:33:30
HLA/LA/249,LA,249,T/JO/192,Local magistrate,true,,,LEM,2002-11-01T15:49:59,LEM,2002-11-01T15:50:02
HLA/LA/250,LA,250,T/JO/191,Local magistrate,true,,,LEM,2002-11-01T15:50:25,LEM,2002-11-01T15:50:28
HLA/LA/251,LA,251,T/LA/475,Bishop,true,,,LEM,2002-11-04T10:30:22,LEM,2002-11-04T10:30:25
HLA/LA/252,LA,252,T/LA/231,Bishop,true,,,LEM,2002-11-05T13:59:20,LEM,2002-11-05T13:59:22
HLA/LA/253,LA,253,T/LA/1126,Presbytery,true,,,LEM,2002-11-06T10:11:30,LEM,2002-11-06T10:11:34
HLA/LA/254,LA,254,T/LA/1126,Justice of the Peace,true,,,LEM,2002-11-06T10:11:35,LEM,2002-11-06T10:11:38
HLA/LA/28,LA,28,T/LA/999,Archbishop,true,13/4/1632,2032-04-13T00:00:00,LEM,2001-10-16T11:53:34,LEM,2001-10-16T11:53:49
HLA/LA/29,LA,29,T/LA/1056,Presbytery,true,13/6/1649,2049-06-13T00:00:00,LEM,2001-10-19T15:32:00,LEM,2001-10-19T15:32:15
HLA/LA/3,LA,3,T/LA/74,Archbishop of Glasgow,true,,,LEM,2001-06-08T11:34:50,LEM,2001-06-08T11:35:04
HLA/LA/56,LA,56,T/LA/1404,Sheriff Court,true,6/6/1615,2015-06-06T00:00:00,LEM,2002-06-17T16:16:40,LEM,2002-06-17T16:16:57
HLA/LA/65,LA,65,T/LA/1501,Presbytery,true,,,LEM,2002-07-10T10:03:17,LEM,2002-07-10T10:03:27
HLA/LA/66,LA,66,T/JO/872,Presbytery,true,1/1650,1950-01-01T00:00:00,LEM,2002-07-10T10:20:37,LEM,2002-07-10T10:20:49
HLA/LA/67,LA,67,T/LA/1502,Presbytery,true,,,LEM,2002-07-10T10:36:35,LEM,2002-07-10T10:36:47
HLA/LA/68,LA,68,T/LA/1503,Presbytery,true,,,LEM,2002-07-10T10:48:48,LEM,2002-07-10T10:48:52
HLA/LA/69,LA,69,T/LA/1504,Presbytery,true,,,LEM,2002-07-10T13:27:42,LEM,2002-07-10T13:27:47
HLA/LA/70,LA,70,T/LA/1505,Presbytery,true,,,LEM,2002-07-10T13:36:33,LEM,2002-07-10T13:36:50
HLA/LA/71,LA,71,T/LA/1506,Presbytery,true,,,LEM,2002-07-10T13:47:09,LEM,2002-07-10T13:47:12
HLA/LA/72,LA,72,T/LA/37,Presbytery,true,,,LEM,2002-07-10T14:21:42,LEM,2002-07-10T14:21:46
HLA/LA/73,LA,73,T/LA/157,Lord Advocate,true,23/11/1643,2043-11-23T00:00:00,LEM,2002-07-10T16:13:01,LEM,2002-07-10T16:13:20
HLA/LA/74,LA,74,T/LA/1129,Justice of the Peace,true,2/2/1658,1958-02-02T00:00:00,LEM,2002-07-15T10:08:57,LEM,2002-07-15T10:09:14
HLA/LA/75,LA,75,T/JO/204,Local magistrate,true,5/1/1659,1959-01-05T00:00:00,LEM,2002-07-18T17:04:26,LEM,2002-07-18T17:05:04
HLA/LA/91,LA,91,T/LA/1683,Lord Justice General,true,27/11/1660,1960-11-27T00:00:00,LEM,2002-08-01T10:25:16,LEM,2002-08-01T10:25:44
HLA/LA/92,LA,92,T/LA/1727,Lord Justice General,true,27/11/1660,1960-11-27T00:00:00,LEM,2002-08-01T10:28:54,LEM,2002-08-01T10:29:06
HLA/LA/93,LA,93,T/LA/1750,Local laird,true,24/7/1649,2049-07-24T00:00:00,LEM,2002-08-02T11:47:11,LEM,2002-08-02T11:47:25
HLA/LA/94,LA,94,T/LA/1750,Committee of Estates,true,24/10/1650,1950-10-24T00:00:00,LEM,2002-08-02T11:47:29,LEM,2002-08-02T11:47:48
