meetingplaceref,meetingplacesystemid,meetingplaceid,caseref,meetingplace_place,inversion,location,createdby,createdate,lastupdatedby,lastupdatedon
MP/LA/620,LA,620,C/EGD/792,House,false,Jon Wilson's,LEM,2002-07-23T15:12:59,LEM,2002-07-23T15:13:24
MP/LA/621,LA,621,C/EGD/33,Glen,false,Glen of Corloy,LEM,2002-07-24T10:30:48,LEM,2002-07-24T10:31:13
MP/LA/622,LA,622,C/EGD/108,,false,Presonpans,LEM,2002-07-26T09:49:54,LEM,2002-07-26T09:50:03
MP/LA/623,LA,623,C/EGD/120,,false,Prestonpans,LEM,2002-07-26T09:55:02,LEM,2002-07-26T09:55:06
MP/LA/624,LA,624,C/EGD/120,Kirk,false,North Berwick,LEM,2002-07-26T09:56:31,LEM,2002-07-26T09:56:38
MP/LA/625,LA,625,C/EGD/120,Kirkyard,false,North Berwick,LEM,2002-07-26T09:56:39,LEM,2002-07-26T09:56:45
MP/LA/626,LA,626,C/EGD/107,,false,Fyrnt Hoillis of Prestonpans,LEM,2002-07-26T10:02:30,LEM,2002-07-26T10:03:14
MP/LA/627,LA,627,C/EGD/110,,false,The Ship,LEM,2002-07-26T10:32:53,LEM,2002-07-26T10:32:59
MP/LA/628,LA,628,C/EGD/63,Hilltop,false,,LEM,2002-07-26T10:57:25,LEM,2002-07-26T11:43:13
MP/LA/629,LA,629,C/EGD/345,Dam,false,The Stone Well,LEM,2002-07-30T11:11:32,LEM,2002-07-30T11:11:40
MP/LA/630,LA,630,C/EGD/345,Green,false,between Tranent and Seaton,LEM,2002-07-30T11:12:10,LEM,2002-07-30T11:12:29
MP/LA/631,LA,631,C/EGD/346,Dam,false,of Tranent,LEM,2002-07-30T12:13:54,LEM,2002-07-30T12:14:12
MP/LA/632,LA,632,C/EGD/346,Green,false,Bragreen between Seaton and Tranent,LEM,2002-07-30T12:14:14,LEM,2002-07-30T12:14:31
MP/LA/633,LA,633,C/EGD/347,,false,Prestonpans,LEM,2002-07-30T13:46:54,LEM,2002-07-30T13:47:22
MP/LA/634,LA,634,C/EGD/353,Kirk,false,the Old Kirk,LEM,2002-08-01T09:28:04,LEM,2002-08-01T09:28:11
MP/LA/635,LA,635,C/EGD/344,Windmill,false,of the pans,LEM,2002-08-01T09:38:47,LEM,2002-08-01T09:39:09
MP/LA/636,LA,636,C/EGD/349,Green,false,Bragreen between Seaton and Tranent,LEM,2002-08-01T09:46:58,LEM,2002-08-01T09:47:21
MP/LA/637,LA,637,C/EGD/343,Green,false,Bragreen between Seaton and Tranent,LEM,2002-08-01T09:56:06,LEM,2002-08-01T09:56:24
MP/LA/638,LA,638,C/EGD/273,Hilltop,false,,LEM,2002-08-01T10:53:01,LEM,2002-08-01T10:53:13
MP/LA/639,LA,639,C/EGD/273,Kirk,false,Irvine,LEM,2002-08-01T10:54:04,jhm,2002-10-31T11:30:51
MP/LA/640,LA,640,C/EGD/1474,Kirk,false,Nairn,LEM,2002-08-20T14:50:54,LEM,2002-08-20T14:50:58
MP/LA/641,LA,641,C/EGD/1474,,false,Darnvay,LEM,2002-08-20T15:02:36,LEM,2002-08-20T15:02:41
MP/LA/642,LA,642,C/EGD/1558,Kirk,false,The Kirk of Auldearn,LEM,2002-08-22T10:41:55,LEM,2002-08-22T10:42:08
MP/LA/643,LA,643,C/EGD/1558,Kirk,false,Kirk of Nairn,LEM,2002-08-22T10:44:37,LEM,2002-08-22T10:44:42
MP/LA/644,LA,644,C/EGD/1558,Hilltop,false,Hill of Earlfeat,LEM,2002-08-22T10:49:53,LEM,2002-08-22T10:50:00
MP/LA/645,LA,645,C/EGD/1558,Dye-House,false,Auldearn,LEM,2002-08-22T11:09:46,LEM,2002-08-22T11:09:55
MP/LA/65,LA,65,C/EGD/1605,House,false,Her house,LEM,2001-06-19T14:10:38,LEM,2001-06-19T14:11:07
MP/LA/66,LA,66,C/EGD/372,Bank Head,false,Wolmet Bank,LEM,2001-06-27T16:09:33,LEM,2001-06-27T16:10:57
MP/LA/661,LA,661,C/EGD/1224,Hilltop,false,Coldinghame Law,LEM,2002-11-18T15:51:06,LEM,2002-11-18T15:51:26
MP/LA/662,LA,662,C/EGD/1224,House,false,Bessie Sleigh's,LEM,2002-11-18T15:51:27,LEM,2002-11-18T15:51:35
