shapechangingref,shapechangingsystemid,shapechangingid,caseref,shapechanging_type,details,createdby,createdate,lastupdatedby,lastupdatedon
SC/LA/44,LA,44,C/EGD/616,Animal,crow,LEM,2002-06-25T13:36:51,LEM,2002-06-25T13:37:03
SC/LA/48,LA,48,C/EGD/2410,In Dream,dreamt she was flyting with the suspect,LEM,2002-07-10T10:24:23,LEM,2002-07-10T10:24:43
SC/LA/49,LA,49,C/EGD/1605,Animal,cats in a fire,LEM,2002-07-12T09:55:08,LEM,2002-07-12T09:55:37
SC/LA/50,LA,50,C/EGD/293,Animal,Corbie,LEM,2002-07-18T11:55:21,LEM,2002-07-18T11:55:24
SC/LA/51,LA,51,C/EGD/293,Animal,Sow,LEM,2002-07-18T11:58:05,LEM,2002-07-18T11:58:09
SC/LA/52,LA,52,C/EGD/33,Animal,"Brok, [badger]",LEM,2002-07-24T10:30:35,LEM,2002-07-24T10:30:46
SC/LA/53,LA,53,C/EGD/1558,Animal,Jackdaw (Kea),LEM,2002-08-22T11:08:11,LEM,2002-08-22T11:08:29
SC/LA/56,LA,56,C/EGD/600,In Dream,she was gripping a boy,LEM,2002-11-07T14:01:07,LEM,2002-11-07T14:01:16
SC/LA/6,LA,6,C/EGD/383,Animal,grey cat,LEM,2001-06-29T09:55:15,jhm,2002-11-05T15:28:33
SC/LA/7,LA,7,C/EGD/383,Phantom,Rat,LEM,2001-06-29T09:55:17,LEM,2001-06-29T09:55:26
SC/LA/8,LA,8,C/EGD/385,Apparition,cat,LEM,2001-06-29T10:37:23,jhm,2002-11-13T14:33:53
SC/LA/9,LA,9,C/EGD/401,Apparition,"for 8 nights, then suffocated a child",LEM,2001-07-02T15:17:50,jhm,2002-11-13T14:34:21
