ordealref,ordealsystemid,ordealid,trialref,ordealexists,ordealdate,ordealdate_as_date,ordealtype,createdby,createdate,lastupdatedby,lastupdatedon
OD/JO/65,JO,65,T/JO/1646,true,12/1649,2049-12-01T00:00:00,Pricking,jhm,2002-07-22T14:49:14,jhm,2002-07-22T14:49:19
OD/JO/66,JO,66,T/JO/1647,true,12/1649,2049-12-01T00:00:00,Pricking,jhm,2002-07-22T14:51:50,jhm,2002-07-22T14:51:55
OD/JO/67,JO,67,T/JO/1648,true,12/1649,2049-12-01T00:00:00,Pricking,jhm,2002-07-22T14:55:00,jhm,2002-07-22T14:55:05
OD/JO/68,JO,68,T/JO/1649,true,12/1649,2049-12-01T00:00:00,Pricking,jhm,2002-07-22T14:57:34,jhm,2002-07-22T14:57:41
OD/JO/69,JO,69,T/JO/1650,true,12/1649,2049-12-01T00:00:00,Pricking,jhm,2002-07-22T15:01:36,jhm,2002-07-22T15:01:41
OD/JO/70,JO,70,T/JO/1651,true,12/1649,2049-12-01T00:00:00,Pricking,jhm,2002-07-22T15:07:40,jhm,2002-07-22T15:07:45
OD/JO/71,JO,71,T/JO/1663,true,7/1661,1961-07-01T00:00:00,Pricking,jhm,2002-07-24T10:54:20,jhm,2002-07-24T10:54:28
OD/JO/72,JO,72,T/JO/1664,true,8/1661,1961-08-01T00:00:00,Pricking,jhm,2002-07-24T11:04:45,jhm,2002-07-24T11:04:54
OD/JO/73,JO,73,T/JO/1665,true,8/1661,1961-08-01T00:00:00,Pricking,jhm,2002-07-24T11:10:16,jhm,2002-07-24T11:10:26
OD/JO/74,JO,74,T/JO/1666,true,8/1661,1961-08-01T00:00:00,Pricking,jhm,2002-07-24T11:59:44,jhm,2002-07-24T11:59:56
OD/JO/75,JO,75,T/JO/1667,true,8/1661,1961-08-01T00:00:00,Pricking,jhm,2002-07-24T12:05:41,jhm,2002-07-24T12:05:48
OD/JO/76,JO,76,T/JO/1669,true,1/1662,1962-01-01T00:00:00,Pricking,jhm,2002-07-24T13:09:40,jhm,2002-07-24T13:25:50
OD/JO/77,JO,77,T/JO/1670,true,1/1662,1962-01-01T00:00:00,Pricking,jhm,2002-07-24T13:18:52,jhm,2002-07-24T13:26:01
OD/JO/78,JO,78,T/JO/1671,true,1/1662,1962-01-01T00:00:00,Pricking,jhm,2002-07-24T13:23:11,jhm,2002-07-24T13:28:24
OD/JO/79,JO,79,T/JO/1712,true,1661,1961-06-01T00:00:00,Searching,jhm,2002-08-07T15:25:08,jhm,2002-08-07T15:25:59
OD/JO/8,JO,8,T/JO/393,true,7/1661,1961-07-01T00:00:00,Searching,jhm,2001-07-10T11:02:35,jhm,2001-07-10T11:02:47
OD/JO/80,JO,80,T/JO/1713,true,1661,1961-06-01T00:00:00,Searching,jhm,2002-08-07T15:38:42,jhm,2002-08-07T15:38:54
OD/JO/86,JO,86,T/JO/1789,true,1661,1961-06-01T00:00:00,Searching,jhm,2002-08-07T16:10:17,jhm,2002-08-07T16:10:26
OD/JO/87,JO,87,T/JO/1790,true,1661,1961-06-01T00:00:00,Searching,jhm,2002-08-07T16:15:37,jhm,2002-08-07T16:17:55
OD/JO/88,JO,88,T/JO/1791,true,1661,1961-06-01T00:00:00,Searching,jhm,2002-08-07T16:21:27,jhm,2002-08-07T16:21:32
OD/JO/89,JO,89,T/LA/326,true,1661,1961-06-01T00:00:00,Searching,jhm,2002-08-07T16:26:24,jhm,2002-08-07T16:26:42
OD/JO/9,JO,9,T/LA/319,true,7/1661,1961-07-01T00:00:00,Searching,jhm,2001-07-10T11:05:04,jhm,2001-07-10T11:05:17
OD/JO/90,JO,90,T/JO/1876,true,6/1649,2049-06-01T00:00:00,Pricking,jhm,2002-08-26T15:24:34,jhm,2002-08-26T15:25:15
OD/JO/91,JO,91,T/JO/1882,true,7/2/1662,1962-02-07T00:00:00,Searching,jhm,2002-08-27T11:46:02,jhm,2002-08-27T11:46:24
