maliceref,malicesystemid,maliceid,caseref,causeofmalice,createdby,createdate,lastupdatedby,lastupdatedon
MA/JO/72,JO,72,C/JO/3025,Grudge,jhm,2002-05-01T16:41:49,jhm,2002-05-01T16:41:52
MA/JO/73,JO,73,C/EGD/2160,Refusal of alms,jhm,2002-05-09T16:48:10,jhm,2002-05-09T16:48:12
MA/JO/74,JO,74,C/EGD/2160,Revenge,jhm,2002-05-09T16:49:33,jhm,2002-05-09T16:49:36
MA/JO/75,JO,75,C/EGD/2168,Revenge,jhm,2002-05-09T17:20:59,jhm,2002-05-09T17:21:01
MA/JO/76,JO,76,C/EGD/2174,Revenge,jhm,2002-05-13T12:15:27,jhm,2002-05-13T12:15:28
MA/JO/77,JO,77,C/EGD/2154,Debt,jhm,2002-06-03T17:17:08,jhm,2002-06-03T17:17:16
MA/JO/78,JO,78,C/EGD/2154,Grudge,jhm,2002-06-03T17:18:50,jhm,2002-06-03T17:18:53
MA/JO/79,JO,79,C/EGD/2123,Business interactions,jhm,2002-06-10T20:48:43,jhm,2002-06-10T20:48:57
MA/JO/80,JO,80,C/EGD/2306,Refusal of alms,jhm,2002-06-19T14:48:06,jhm,2002-06-19T14:48:42
MA/JO/81,JO,81,C/EGD/2327,Refusal of alms,jhm,2002-06-19T15:50:01,jhm,2002-06-19T15:50:04
MA/JO/82,JO,82,C/EGD/2327,Failed business interaction,jhm,2002-06-19T15:51:14,jhm,2002-06-19T15:51:15
MA/JO/83,JO,83,C/JO/3058,Business interactions,jhm,2002-06-26T12:18:09,jhm,2002-06-26T12:18:11
MA/JO/84,JO,84,C/JO/3073,Grudge,jhm,2002-07-02T10:04:27,jhm,2002-07-02T10:04:43
MA/JO/85,JO,85,C/EGD/2262,Failed healing,jhm,2002-07-03T15:01:40,jhm,2002-07-03T15:01:41
MA/JO/86,JO,86,C/EGD/2262,Revenge,jhm,2002-07-03T15:01:47,jhm,2002-07-03T15:02:01
MA/JO/87,JO,87,C/JO/3085,Revenge,jhm,2002-07-03T15:23:59,jhm,2002-07-03T15:24:00
MA/JO/88,JO,88,C/JO/3086,Failed business interaction,jhm,2002-07-03T15:48:03,jhm,2002-07-03T15:48:04
MA/JO/89,JO,89,C/JO/3086,Revenge for being called a witch,jhm,2002-07-03T15:48:09,jhm,2002-07-03T15:48:11
MA/JO/90,JO,90,C/EGD/297,Revenge,jhm,2002-07-04T11:01:07,jhm,2002-07-04T11:01:09
MA/JO/91,JO,91,C/EGD/297,Debt,jhm,2002-07-04T11:01:18,jhm,2002-07-04T11:01:19
MA/JO/92,JO,92,C/EGD/297,Verbal Insult,jhm,2002-07-04T11:01:26,jhm,2002-07-04T11:01:29
MA/JO/93,JO,93,C/EGD/2149,Revenge,jhm,2002-07-09T09:43:08,jhm,2002-07-09T09:43:18
MA/JO/94,JO,94,C/EGD/2158,Revenge,jhm,2002-07-09T11:34:03,jhm,2002-07-09T11:34:06
MA/JO/95,JO,95,C/EGD/2158,Failed business interaction,jhm,2002-07-09T11:35:03,jhm,2002-07-09T11:35:24
MA/JO/96,JO,96,C/EGD/2158,Physical insult,jhm,2002-07-09T11:35:34,jhm,2002-07-09T11:35:40
MA/JO/97,JO,97,C/JO/3090,Revenge,jhm,2002-07-09T15:25:36,jhm,2002-07-09T15:25:38
MA/JO/98,JO,98,C/EGD/1748,Revenge,jhm,2002-07-10T13:35:49,jhm,2002-07-10T13:35:50
MA/JO/99,JO,99,C/EGD/2367,Failed business interaction,jhm,2002-07-11T10:25:21,jhm,2002-07-11T10:25:22
MA/LA/1,LA,1,C/EGD/160,Slander,LEM,2001-05-17T10:56:20,LEM,2001-05-17T10:56:23
MA/LA/10,LA,10,C/EGD/183,Revenge for being called a witch,LEM,2001-05-22T14:50:04,LEM,2001-05-22T14:50:29
MA/LA/106,LA,106,C/EGD/798,Social slight,LEM,2002-07-23T15:08:38,LEM,2002-07-23T15:08:39
MA/LA/107,LA,107,C/EGD/782,Revenge,LEM,2002-08-01T10:39:05,LEM,2002-08-01T10:39:07
MA/LA/108,LA,108,C/EGD/782,Social slight,LEM,2002-08-01T10:39:14,LEM,2002-08-01T10:39:17
MA/LA/109,LA,109,C/EGD/587,Social slight,LEM,2002-08-28T11:04:31,LEM,2002-08-28T11:04:33
MA/LA/11,LA,11,C/EGD/183,Social slight,LEM,2001-05-22T15:01:55,LEM,2001-05-22T15:02:21
MA/LA/12,LA,12,C/EGD/156,Revenge,LEM,2001-06-08T10:44:57,LEM,2001-06-08T10:44:58
MA/LA/13,LA,13,C/EGD/156,Revenge for being called a witch,LEM,2001-06-08T10:44:59,LEM,2001-06-08T10:45:02
MA/LA/14,LA,14,C/EGD/156,Grudge,LEM,2001-06-08T14:50:42,LEM,2001-06-08T14:50:51
MA/LA/15,LA,15,C/EGD/157,Failed healing,LEM,2001-06-12T09:49:49,LEM,2001-06-12T09:50:02
MA/LA/16,LA,16,C/EGD/173,Failed business interaction,LEM,2001-06-15T12:18:10,LEM,2001-06-15T12:18:21
MA/LA/17,LA,17,C/EGD/173,Revenge for being called a witch,LEM,2001-06-15T12:18:25,LEM,2001-06-15T12:18:31
MA/LA/18,LA,18,C/EGD/173,Debt,LEM,2001-06-15T12:19:22,LEM,2001-06-15T12:19:39
