sourceref,createdby,createdate,lastupdatedby,lastupdatedon
Kirkcaldy Old Kirk Session records,jhm,2002-05-08T14:16:08,jhm,2002-05-08T14:16:08
Kirkcaldy Presbytery records,jhm,2002-01-17T12:15:37,jhm,2002-01-17T12:15:37
Kirkcudbright Presbytery records,jhm,2001-10-23T15:27:45,jhm,2001-10-23T15:27:45
Lanark Presbytery Records,jhm,2001-11-23T11:08:07,jhm,2001-11-23T11:08:07
Lawting Sheriff and Justice Court,LEM,2002-06-19T11:39:41,jhm,2002-09-18T15:06:21
Linlithgow Council Minutes 1620-40,LEM,2002-07-10T08:53:01,LEM,2002-07-10T08:53:01
Linlithgow presbytery records,jhm,2001-07-23T10:36:59,jhm,2001-07-23T10:36:59
Livingston Kirk Session records,jhm,2001-09-07T10:55:24,jhm,2001-09-07T10:55:24
Marwick Collection,LEM,2002-06-19T15:12:24,LEM,2002-06-19T15:12:24
Mauchline Kirk Session,LEM,2001-08-22T15:07:49,LEM,2001-08-22T15:07:49
Maxwell of Pollok Papers,jhm,2002-07-10T13:12:17,jhm,2002-09-18T15:00:10
Memorials of the Earls of Haddington,jhm,2002-09-09T14:45:12,jhm,2002-09-09T14:45:12
Menmuir Kirk session records,jhm,2002-07-02T13:58:08,jhm,2002-07-02T13:58:08
Newbattle Kirk Session records,jhm,2002-07-24T10:37:24,jhm,2002-07-24T10:37:24
North Berwick Kirk Session records,jhm,2002-07-26T11:43:24,jhm,2002-07-26T11:43:24
Old Machar kirk session records,jhm,2002-11-20T12:16:19,jhm,2002-11-20T12:16:19
Orkney Presbytery Records,jhm,2002-06-17T14:34:43,jhm,2002-06-17T14:34:43
Paisley Presbytery records,jhm,2001-12-04T09:32:24,jhm,2001-12-04T09:32:24
Peebles Presbytery records,jhm,2001-07-27T10:51:19,jhm,2001-07-27T10:51:19
Penicuik Kirk Session records,jhm,2002-07-24T13:04:09,jhm,2002-07-24T13:04:09
Penpoint Presbytery records,jhm,2001-09-25T09:51:38,jhm,2001-09-25T09:51:38
Perth Presbytery Minutes,jhm,2002-02-18T15:26:59,jhm,2002-02-18T15:26:59
Pitcairn,LEM,2002-08-20T13:39:03,LEM,2002-08-20T13:39:03
Porteous Rolls,LEM,2002-02-12T14:45:27,LEM,2002-02-12T14:45:27
private papers,LEM,2002-06-19T11:16:51,LEM,2002-06-19T11:16:51
Privy Council,LEM,2002-08-14T09:56:50,LEM,2002-08-14T09:56:50
Privy Council Register of Commissions,LEM,2002-08-26T09:30:29,LEM,2002-08-26T09:30:29
Process Notes,LEM,2002-02-07T11:40:40,LEM,2002-02-07T11:40:40
"Protocol Book of Sir Ninian Bryden, 1536-1564",jhm,2002-02-20T15:21:25,jhm,2002-02-20T15:21:25
