imprisonref,imprisonsystemid,imprisonid,trialref,centraltrialimprison,imprisondate,imprisondate_as_date,prison,location,moving,fate_in_prison,createdby,createdate,lastupdatedby,lastupdatedon
IM/JO/244,JO,244,T/JO/819,false,9/1661,1961-09-01T00:00:00,,,false,,jhm,2001-09-10T14:27:29,jhm,2001-09-10T14:27:32
IM/JO/245,JO,245,T/JO/830,false,,,Tolbooth,Duns,false,Released,jhm,2001-09-12T16:07:59,LEM,2002-10-28T12:59:29
IM/JO/246,JO,246,T/JO/421,false,3/1659,1959-03-01T00:00:00,Tolbooth,Stirling,false,,jhm,2001-09-12T16:12:34,jhm,2001-09-12T16:18:20
IM/JO/247,JO,247,T/JO/419,false,3/1659,1959-03-01T00:00:00,Tolbooth,Stirling,false,,jhm,2001-09-12T16:14:52,jhm,2001-09-12T16:17:25
IM/JO/248,JO,248,T/JO/867,false,,,,Falkland,false,Released,jhm,2001-09-24T14:11:24,jhm,2002-10-11T16:54:50
IM/JO/249,JO,249,T/JO/868,false,,,,Falkland,false,Released,jhm,2001-09-24T14:20:20,jhm,2002-10-11T16:55:08
IM/JO/25,JO,25,T/JO/105,false,7/1649,2049-07-01T00:00:00,,Haddington,false,,jhm,2001-06-14T15:14:22,jhm,2001-06-14T15:14:29
IM/JO/250,JO,250,T/JO/880,false,,,,Lasswade,false,Released,jhm,2001-10-03T13:01:04,jhm,2002-10-11T16:55:24
IM/JO/251,JO,251,T/JO/881,false,,,Tolbooth,Ayton,false,Released,jhm,2001-10-03T13:12:54,jhm,2002-10-11T16:55:41
IM/JO/252,JO,252,T/JO/896,false,,,Tolbooth,Duns,false,Released,jhm,2001-10-03T16:03:13,jhm,2002-10-11T16:55:58
IM/JO/253,JO,253,T/JO/831,false,,,,Rhynd,false,,jhm,2001-10-04T09:19:13,jhm,2002-10-18T11:02:18
IM/JO/254,JO,254,T/JO/832,false,,,,Rhynd,false,,jhm,2001-10-04T09:30:35,jhm,2002-10-18T11:01:51
IM/JO/255,JO,255,T/JO/833,false,,,,Rhynd,false,,jhm,2001-10-04T09:37:29,jhm,2002-10-18T11:01:31
IM/JO/256,JO,256,T/JO/834,false,,,,Rhynd,false,,jhm,2001-10-04T09:43:24,jhm,2002-10-18T11:01:12
IM/JO/257,JO,257,T/JO/897,false,,,,Rhynd,false,Moved,jhm,2001-10-04T09:55:46,LEM,2002-10-28T13:01:19
IM/JO/258,JO,258,T/JO/898,false,,,,Rhynd,false,Moved,jhm,2001-10-04T10:03:54,LEM,2002-10-28T13:00:46
IM/JO/259,JO,259,T/JO/899,false,,,,Rhynd,false,Moved,jhm,2001-10-04T10:10:52,LEM,2002-10-28T13:00:30
IM/JO/26,JO,26,T/JO/107,false,,,,Haddington,false,,jhm,2001-06-15T09:23:24,LEM,2002-10-28T12:55:05
IM/JO/260,JO,260,T/JO/900,false,,,,Rhynd,false,Moved,jhm,2001-10-04T10:17:33,LEM,2002-10-28T13:01:04
IM/JO/261,JO,261,T/JO/901,false,,,,Rhynd,false,Moved,jhm,2001-10-04T10:26:13,LEM,2002-10-28T13:00:12
IM/JO/262,JO,262,T/JO/830,false,,,Tolbooth,Eyemouth,false,Released,jhm,2001-10-04T10:56:35,LEM,2002-10-28T12:59:43
IM/JO/263,JO,263,T/JO/905,false,,,,Eyemouth,false,Released,jhm,2001-10-04T11:38:45,jhm,2002-10-11T16:56:15
IM/JO/264,JO,264,T/JO/939,false,,,,,false,,jhm,2001-10-09T10:42:19,LEM,2002-10-28T13:03:27
IM/JO/265,JO,265,T/JO/940,false,,,,,false,,jhm,2001-10-09T10:46:51,LEM,2002-10-28T13:03:14
IM/JO/266,JO,266,T/JO/941,false,,,,,false,,jhm,2001-10-09T10:50:46,LEM,2002-10-28T13:03:03
IM/JO/267,JO,267,T/JO/942,false,,,,,false,,jhm,2001-10-09T10:54:25,LEM,2002-10-28T13:02:49
IM/JO/268,JO,268,T/JO/943,false,5/1662,1962-05-01T00:00:00,,,false,,jhm,2001-10-09T10:58:43,jhm,2001-10-09T10:58:47
IM/JO/269,JO,269,T/JO/944,false,,,,,false,,jhm,2001-10-09T11:51:06,LEM,2002-10-28T13:01:37
IM/JO/27,JO,27,T/JO/108,false,,,,Haddington,false,,jhm,2001-06-15T09:39:57,LEM,2002-10-28T12:54:11
IM/JO/270,JO,270,T/JO/945,false,,,,,false,,jhm,2001-10-09T11:56:33,LEM,2002-10-28T13:02:08
IM/JO/271,JO,271,T/JO/946,false,,,,,false,,jhm,2001-10-09T12:00:15,LEM,2002-10-28T13:01:52
IM/JO/272,JO,272,T/JO/947,false,,,,,false,,jhm,2001-10-09T12:06:32,jhm,2002-10-18T11:42:34
IM/JO/273,JO,273,T/JO/951,false,,,,Lauder,false,,jhm,2001-10-09T13:03:55,LEM,2002-10-28T13:04:29
IM/JO/274,JO,274,T/JO/952,false,,,,Lauder,false,,jhm,2001-10-09T13:15:05,LEM,2002-10-28T13:04:55
IM/JO/275,JO,275,T/JO/953,false,,,,Lauder,false,,jhm,2001-10-09T13:28:09,LEM,2002-10-28T13:04:43
IM/JO/276,JO,276,T/JO/957,true,,,,Edinburgh,false,,jhm,2001-10-09T15:32:34,LEM,2002-10-28T13:04:13
IM/JO/277,JO,277,T/JO/957,false,,,Tolbooth,Auchtermuchty,true,Moved,jhm,2001-10-09T15:32:49,LEM,2002-10-28T13:04:10
IM/JO/278,JO,278,T/JO/958,false,,,Tolbooth,Jedburgh,false,,jhm,2001-10-09T15:45:00,jhm,2002-10-11T16:56:32
IM/JO/279,JO,279,T/JO/969,false,10/1/1662,1962-01-10T00:00:00,,Montrose,true,Moved,jhm,2001-10-11T09:18:01,jhm,2001-10-11T09:18:41
IM/JO/28,JO,28,T/JO/109,false,,,,Haddington,false,,jhm,2001-06-15T09:52:51,jhm,2002-10-11T16:41:52
IM/JO/280,JO,280,T/JO/969,false,16/9/1662,1962-09-16T00:00:00,,Forfar,false,Released,jhm,2001-10-11T09:18:41,jhm,2001-10-11T09:19:21
IM/JO/281,JO,281,T/JO/970,false,10/1/1662,1962-01-10T00:00:00,,Montrose,true,Moved,jhm,2001-10-11T09:30:04,jhm,2001-10-11T09:30:18
IM/JO/282,JO,282,T/JO/970,false,16/9/1662,1962-09-16T00:00:00,,Forfar,false,Released,jhm,2001-10-11T09:30:18,jhm,2001-10-11T09:30:30
IM/JO/283,JO,283,T/JO/984,false,7/1662,1962-07-01T00:00:00,Tolbooth,Inverness,false,,jhm,2001-10-11T12:59:44,jhm,2001-10-11T13:00:01
IM/JO/284,JO,284,T/JO/986,false,,,House,Comer,false,,jhm,2001-10-11T13:19:36,jhm,2002-10-18T11:00:53
IM/JO/285,JO,285,T/JO/987,false,,,House,Comer,false,,jhm,2001-10-11T13:35:38,jhm,2002-10-18T11:00:48
IM/JO/286,JO,286,T/JO/988,false,6/1662,1962-06-01T00:00:00,,,false,,jhm,2001-10-11T14:41:21,jhm,2001-10-11T14:41:26
IM/JO/287,JO,287,T/JO/989,false,,,House,Comer,false,,jhm,2001-10-11T14:48:41,jhm,2002-10-18T11:00:09
IM/JO/288,JO,288,T/JO/990,false,,,House,Comer,false,,jhm,2001-10-11T14:56:15,jhm,2002-10-18T11:00:26
IM/JO/289,JO,289,T/JO/991,false,,,House,Comer,false,,jhm,2001-10-11T15:05:18,jhm,2002-10-18T10:59:52
IM/JO/29,JO,29,T/JO/111,false,,,,Haddington,false,,jhm,2001-06-15T10:00:49,jhm,2002-10-11T16:42:09
IM/JO/290,JO,290,T/JO/992,false,,,House,Comer,false,,jhm,2001-10-11T15:12:39,jhm,2002-10-18T10:59:33
IM/JO/291,JO,291,T/JO/993,false,,,House,Comer,false,,jhm,2001-10-11T15:19:36,jhm,2002-10-18T10:58:55
IM/JO/292,JO,292,T/JO/994,false,,,House,Comer,false,,jhm,2001-10-11T15:27:01,jhm,2002-10-18T10:58:17
IM/JO/293,JO,293,T/JO/996,false,,,House,Comer,false,,jhm,2001-10-11T15:39:19,jhm,2002-10-18T10:57:52
IM/JO/294,JO,294,T/JO/998,false,,,House,Comer,false,,jhm,2001-10-11T15:53:50,jhm,2002-10-18T10:56:54
IM/JO/295,JO,295,T/JO/999,false,,,House,Comer,false,,jhm,2001-10-11T16:01:10,jhm,2002-10-11T16:56:41
IM/JO/296,JO,296,T/JO/1007,false,8/1662,1962-08-01T00:00:00,,,false,,jhm,2001-10-18T15:03:43,jhm,2001-10-18T15:03:48
IM/JO/297,JO,297,T/JO/1008,false,8/1662,1962-08-01T00:00:00,,,false,,jhm,2001-10-18T15:08:05,jhm,2001-10-18T15:08:08
IM/JO/298,JO,298,T/JO/1009,false,8/1662,1962-08-01T00:00:00,,,false,,jhm,2001-10-18T15:11:24,jhm,2001-10-18T15:11:28
IM/JO/299,JO,299,T/JO/1010,false,8/1662,1962-08-01T00:00:00,,,false,,jhm,2001-10-18T15:15:00,jhm,2001-10-18T15:15:03
IM/JO/30,JO,30,T/JO/112,false,,,,Haddington,false,,jhm,2001-06-15T10:06:17,jhm,2002-10-11T16:42:14
IM/JO/300,JO,300,T/JO/1011,false,8/1662,1962-08-01T00:00:00,,,false,,jhm,2001-10-18T15:18:35,jhm,2001-10-18T15:18:39
IM/JO/301,JO,301,T/JO/1012,false,8/1662,1962-08-01T00:00:00,,,false,,jhm,2001-10-18T15:21:47,jhm,2001-10-18T15:21:51
IM/JO/302,JO,302,T/JO/1017,false,,,Wardhouse,Forfar,false,Released,jhm,2001-10-18T16:25:18,jhm,2002-11-13T12:23:03
IM/JO/303,JO,303,T/JO/769,false,1664,1964-06-01T00:00:00,,Stirling,false,Moved,jhm,2001-10-19T09:20:41,jhm,2001-10-19T09:21:01
IM/JO/304,JO,304,T/JO/1019,false,,,Tolbooth,Paisley,false,,jhm,2001-10-19T09:43:00,jhm,2002-10-21T16:49:51
IM/JO/305,JO,305,T/JO/1020,false,,,,Lauder,false,Released,jhm,2001-10-19T09:55:44,jhm,2002-10-11T16:57:19
IM/JO/308,JO,308,T/JO/1073,false,,,Tolbooth,Canongate,false,,jhm,2001-10-22T13:29:07,jhm,2002-10-11T16:57:24
IM/JO/309,JO,309,T/JO/1075,false,8/1661,1961-08-01T00:00:00,Tolbooth,Forfar,false,,jhm,2001-10-22T15:01:11,jhm,2001-10-22T15:01:20
IM/JO/31,JO,31,T/JO/113,false,,,,Haddington,false,,jhm,2001-06-15T10:10:57,jhm,2002-10-11T16:42:43
IM/JO/310,JO,310,T/JO/1076,false,8/1661,1961-08-01T00:00:00,Tolbooth,Forfar,false,,jhm,2001-10-22T15:05:48,jhm,2001-10-22T15:05:59
IM/JO/311,JO,311,T/JO/1077,false,29/1/1706,2006-01-29T00:00:00,Tolbooth,Wigtown,false,Escaped,jhm,2001-10-23T10:45:05,jhm,2001-10-23T10:45:26
IM/JO/318,JO,318,T/JO/1111,false,8/1646,2046-08-01T00:00:00,,,false,Released,jhm,2001-11-27T09:59:08,jhm,2001-11-27T10:01:09
IM/JO/319,JO,319,T/JO/1113,false,22/11/1649,2049-11-22T00:00:00,Tolbooth,Lanark,false,Released,jhm,2001-11-27T12:24:27,jhm,2002-10-18T11:50:00
IM/JO/32,JO,32,T/JO/114,false,,,,Haddington,false,,jhm,2001-06-15T10:15:41,jhm,2002-10-11T16:42:47
IM/JO/320,JO,320,T/JO/1114,false,,,Tolbooth,Lanark,false,Released,jhm,2001-11-27T12:46:27,LEM,2002-10-28T13:09:27
IM/JO/321,JO,321,T/JO/1115,false,22/11/1649,2049-11-22T00:00:00,Tolbooth,Lanark,false,,jhm,2001-11-27T13:14:08,jhm,2002-10-18T11:50:48
IM/JO/322,JO,322,T/JO/1116,false,22/11/1649,2049-11-22T00:00:00,Tolbooth,Lanark,false,Released,jhm,2001-11-27T13:23:53,jhm,2002-10-18T11:50:32
IM/JO/323,JO,323,T/JO/1117,false,22/11/1649,2049-11-22T00:00:00,Tolbooth,Lanark,false,Released,jhm,2001-11-27T13:36:23,jhm,2002-10-18T11:50:15
IM/JO/324,JO,324,T/JO/1118,false,22/11/1649,2049-11-22T00:00:00,Tolbooth,Lanark,false,Released,jhm,2001-11-27T14:00:52,jhm,2002-10-18T11:49:36
IM/JO/325,JO,325,T/JO/1119,false,,,Tolbooth,Lanark,false,Released,jhm,2001-11-27T15:11:05,jhm,2002-10-21T13:29:55
IM/JO/326,JO,326,T/JO/1120,false,,,Tolbooth,Lanark,false,,jhm,2001-11-27T15:24:06,LEM,2002-10-28T13:10:35
IM/JO/327,JO,327,T/JO/1121,false,22/11/1649,2049-11-22T00:00:00,Tolbooth,Lanark,false,Released,jhm,2001-11-27T15:32:17,jhm,2002-10-18T10:53:27
IM/JO/328,JO,328,T/JO/1122,false,22/11/1649,2049-11-22T00:00:00,Tolbooth,Lanark,false,Released,jhm,2001-11-27T15:41:25,jhm,2002-10-18T10:53:41
IM/JO/329,JO,329,T/JO/1123,false,22/11/1649,2049-11-22T00:00:00,Tolbooth,Lanark,false,Released,jhm,2001-11-27T15:50:59,jhm,2002-10-18T10:54:01
IM/JO/33,JO,33,T/JO/115,false,,,,Haddington,false,,jhm,2001-06-15T10:22:15,jhm,2002-10-11T16:43:04
IM/JO/330,JO,330,T/JO/1125,false,9/1649,2049-09-01T00:00:00,,Renfrew,false,,jhm,2001-12-04T09:34:06,jhm,2001-12-04T09:34:15
IM/JO/331,JO,331,T/JO/1126,false,9/1649,2049-09-01T00:00:00,,Renfrew,false,,jhm,2001-12-04T09:42:26,jhm,2001-12-04T09:43:24
IM/JO/332,JO,332,T/JO/1127,false,9/1649,2049-09-01T00:00:00,,Renfrew,false,,jhm,2001-12-04T09:45:01,jhm,2001-12-04T09:45:40
IM/JO/333,JO,333,T/JO/1128,false,9/1649,2049-09-01T00:00:00,,Renfrew,false,,jhm,2001-12-04T09:47:49,jhm,2001-12-04T09:51:40
IM/JO/334,JO,334,T/JO/1132,false,2/1697,1997-02-01T00:00:00,House,,true,,jhm,2001-12-04T14:45:11,jhm,2001-12-04T14:45:25
IM/JO/335,JO,335,T/JO/1133,false,2/1697,1997-02-01T00:00:00,House,,true,,jhm,2001-12-04T15:00:57,jhm,2001-12-04T15:01:07
IM/JO/336,JO,336,T/JO/1134,false,,,House,,true,,jhm,2001-12-04T15:09:13,jhm,2002-10-18T10:51:08
IM/JO/337,JO,337,T/JO/1168,false,2/1696,1996-02-01T00:00:00,,Greenock,false,,jhm,2001-12-06T14:40:08,jhm,2001-12-06T14:41:44
IM/JO/338,JO,338,T/JO/1169,false,,,,Balliemore,false,,jhm,2002-01-14T09:49:17,jhm,2002-10-18T10:50:51
IM/JO/339,JO,339,T/JO/1173,false,4/1649,2049-04-01T00:00:00,,Inverkeithing,false,,jhm,2002-01-16T12:52:41,jhm,2002-01-16T12:54:13
IM/JO/34,JO,34,T/JO/116,false,,,,Haddington,false,,jhm,2001-06-15T10:28:12,jhm,2002-10-11T16:43:25
IM/JO/340,JO,340,T/JO/1174,false,4/1649,2049-04-01T00:00:00,,Inverkeithing,false,,jhm,2002-01-16T13:07:52,jhm,2002-01-16T13:08:42
IM/JO/341,JO,341,T/JO/1175,false,4/1649,2049-04-01T00:00:00,,Inverkeithing,false,,jhm,2002-01-16T13:13:11,jhm,2002-01-16T13:13:18
IM/JO/342,JO,342,T/JO/1177,false,8/1661,1961-08-01T00:00:00,,Aberdour,false,,jhm,2002-01-16T15:18:17,jhm,2002-01-16T15:18:31
IM/JO/343,JO,343,T/JO/1178,false,,,,Aberdour,false,,jhm,2002-01-16T15:36:19,jhm,2002-10-18T10:50:35
IM/JO/344,JO,344,T/JO/1179,false,,,,Aberdour,false,,jhm,2002-01-16T15:41:22,jhm,2002-10-18T10:50:31
IM/JO/345,JO,345,T/JO/1185,false,9/1638,2038-09-01T00:00:00,Steeple,Dysart,false,Released,jhm,2002-01-17T15:14:07,jhm,2002-01-17T15:17:13
IM/JO/346,JO,346,T/JO/1183,false,10/1638,2038-10-01T00:00:00,,Dysart,false,,jhm,2002-01-17T15:26:37,jhm,2002-01-17T15:26:55
IM/JO/347,JO,347,T/JO/1184,false,10/1638,2038-10-01T00:00:00,,Dysart,false,,jhm,2002-01-17T15:27:08,jhm,2002-01-17T15:27:15
IM/JO/348,JO,348,T/JO/1186,false,1/1639,2039-01-01T00:00:00,,Wemyss,false,,jhm,2002-01-17T15:40:04,jhm,2002-01-17T15:40:10
IM/JO/349,JO,349,T/JO/1188,false,9/1642,2042-09-01T00:00:00,Steeple,Dysart,false,Released,jhm,2002-01-22T10:11:23,jhm,2002-01-22T10:11:41
IM/JO/35,JO,35,T/JO/117,false,,,,Haddington,false,,jhm,2001-06-15T10:32:21,jhm,2002-10-11T16:43:41
IM/JO/350,JO,350,T/LA/1077,false,,,,Dysart,false,Released,jhm,2002-01-22T12:40:08,LEM,2002-10-28T12:51:24
IM/JO/351,JO,351,T/JO/1206,false,12/1649,2049-12-01T00:00:00,,Brechin,false,,jhm,2002-02-07T10:25:39,jhm,2002-02-07T10:25:50
IM/JO/352,JO,352,T/JO/1208,false,4/1650,1950-04-01T00:00:00,Steeple,Brechin,false,,jhm,2002-02-07T14:16:10,jhm,2002-02-14T10:47:06
IM/JO/353,JO,353,T/JO/1209,false,,,,Montrose,false,,jhm,2002-02-07T15:10:24,jhm,2002-10-18T10:49:59
IM/JO/354,JO,354,T/JO/1212,false,9/1659,1959-09-01T00:00:00,,Montrose,false,,jhm,2002-02-14T12:09:32,jhm,2002-10-29T10:51:33
IM/JO/36,JO,36,T/JO/118,false,,,,Haddington,false,,jhm,2001-06-15T10:36:49,jhm,2002-10-11T16:43:58
IM/JO/37,JO,37,T/JO/126,false,15/8/1649,2049-08-15T00:00:00,,Humbie,false,,jhm,2001-06-15T12:47:08,jhm,2001-06-15T12:47:17
IM/JO/38,JO,38,T/JO/127,false,15/8/1649,2049-08-15T00:00:00,,Humbie,false,,jhm,2001-06-15T12:51:19,jhm,2001-06-15T12:51:31
IM/JO/389,JO,389,T/LA/497,false,,,Steeple,,false,Released,jhm,2002-02-19T10:11:35,LEM,2002-10-28T12:43:38
IM/JO/39,JO,39,T/JO/128,false,15/8/1649,2049-08-15T00:00:00,,Humbie,false,,jhm,2001-06-15T12:58:10,jhm,2001-06-15T12:58:24
IM/JO/390,JO,390,T/LA/497,false,,,Tolbooth,Perth,false,Released,jhm,2002-02-19T10:14:51,LEM,2002-10-28T12:43:40
IM/JO/391,JO,391,T/LA/497,false,,,,,false,,jhm,2002-02-19T10:18:44,LEM,2002-10-28T12:43:42
IM/JO/392,JO,392,T/JO/1265,false,11/1646,2046-11-01T00:00:00,,Elgin,false,Escaped,jhm,2002-03-27T10:44:16,jhm,2002-03-27T10:44:29
IM/JO/393,JO,393,T/JO/1266,false,9/1636,2036-09-01T00:00:00,,Aberdeen,false,Escaped,jhm,2002-03-28T11:04:28,jhm,2002-03-28T11:04:41
IM/JO/394,JO,394,T/JO/1271,false,3/1719,2019-03-01T00:00:00,,Thurso,false,,jhm,2002-04-17T09:22:08,jhm,2002-04-17T09:22:23
IM/JO/395,JO,395,T/JO/1272,false,3/1719,2019-03-01T00:00:00,,Thurso,false,,jhm,2002-04-17T09:32:21,jhm,2002-04-17T09:32:31
IM/JO/396,JO,396,T/JO/1273,false,3/1719,2019-03-01T00:00:00,,Thurso,false,,jhm,2002-04-17T09:37:35,jhm,2002-04-17T09:37:42
IM/JO/397,JO,397,T/JO/1274,false,3/1719,2019-03-01T00:00:00,,Thurso,false,,jhm,2002-04-17T09:41:22,jhm,2002-04-17T09:41:29
IM/JO/398,JO,398,T/JO/1275,false,3/1719,2019-03-01T00:00:00,,Thurso,false,,jhm,2002-04-17T09:44:47,jhm,2002-04-17T09:44:52
IM/JO/399,JO,399,T/JO/1276,false,3/1719,2019-03-01T00:00:00,,Thurso,false,,jhm,2002-04-17T09:48:22,jhm,2002-04-17T09:48:30
IM/JO/40,JO,40,T/JO/129,false,15/8/1649,2049-08-15T00:00:00,,Humbie,false,,jhm,2001-06-15T13:02:06,jhm,2001-06-15T13:02:14
IM/JO/400,JO,400,T/JO/1289,false,,,,Dumfries,false,Released,jhm,2002-05-01T16:19:50,jhm,2002-10-18T10:49:40
IM/JO/402,JO,402,T/JO/1298,false,1/1598,1998-01-01T00:00:00,,Aberdeen,false,,jhm,2002-05-09T12:04:24,jhm,2002-05-09T12:06:51
IM/JO/403,JO,403,T/JO/1300,false,1/1597,1997-01-01T00:00:00,,Slains,false,Moved,jhm,2002-05-09T13:02:29,jhm,2002-05-09T13:07:01
IM/JO/404,JO,404,T/JO/1300,false,4/1597,1997-04-01T00:00:00,,Aberdeen,false,,jhm,2002-05-09T13:07:02,jhm,2002-05-09T13:07:33
IM/JO/405,JO,405,T/JO/1306,false,11/1597,1997-11-01T00:00:00,,Aberdeen,false,Released,jhm,2002-05-13T12:25:59,jhm,2002-05-13T12:26:13
IM/JO/406,JO,406,T/JO/1307,false,1596,1996-06-01T00:00:00,Castle,Slains,false,Released,jhm,2002-05-14T11:11:02,jhm,2002-05-14T11:11:26
IM/JO/409,JO,409,T/JO/1405,false,,,,Kirkwall,false,,jhm,2002-06-17T15:13:55,jhm,2002-10-18T10:48:53
IM/JO/41,JO,41,T/JO/130,false,,,,Humbie,false,,jhm,2001-06-15T13:05:46,jhm,2002-10-11T16:44:34
IM/JO/410,JO,410,T/JO/1406,false,,,,Kirwall,false,,jhm,2002-06-17T15:19:26,jhm,2002-10-18T10:48:34
IM/JO/411,JO,411,T/JO/1407,false,,,,Kirkwall,false,,jhm,2002-06-17T15:21:53,jhm,2002-10-18T10:48:28
IM/JO/412,JO,412,T/JO/1408,false,,,,Kirkwall,false,,jhm,2002-06-17T15:24:10,jhm,2002-10-18T10:47:53
IM/JO/413,JO,413,T/JO/1411,false,,,,Kirkwall,false,,jhm,2002-06-17T15:55:42,jhm,2002-10-18T10:47:17
IM/JO/414,JO,414,T/JO/1435,false,,,Tolbooth,Stirling,false,,jhm,2002-06-27T14:56:16,jhm,2002-10-18T10:46:59
IM/JO/415,JO,415,T/JO/1446,false,,,,Dysart,false,,jhm,2002-07-02T09:19:12,LEM,2002-10-28T13:10:54
IM/JO/416,JO,416,T/JO/1450,false,,,,Dysart,false,,jhm,2002-07-02T09:36:21,LEM,2002-10-28T13:11:11
IM/JO/417,JO,417,T/JO/1452,false,,,,Dysart,false,,jhm,2002-07-02T09:46:32,LEM,2002-10-28T13:11:35
IM/JO/418,JO,418,T/JO/1456,false,7/8/1649,2049-08-07T00:00:00,,Dysart,false,,jhm,2002-07-02T10:00:17,jhm,2002-07-02T10:00:27
IM/JO/419,JO,419,T/JO/1457,false,,,,Dysart,false,,jhm,2002-07-02T10:13:15,LEM,2002-10-28T13:11:53
IM/JO/42,JO,42,T/JO/132,false,15/8/1649,2049-08-15T00:00:00,,Humbie,false,,jhm,2001-06-15T13:37:14,jhm,2001-06-15T13:37:21
IM/JO/420,JO,420,T/JO/1458,false,,,,Dysart,false,,jhm,2002-07-02T10:18:12,jhm,2002-10-18T10:43:56
IM/JO/421,JO,421,T/JO/1459,false,,,,Dysart,false,,jhm,2002-07-02T10:23:51,jhm,2002-10-18T10:43:37
IM/JO/422,JO,422,T/JO/1461,false,,,,Lauder,false,,jhm,2002-07-02T15:37:13,jhm,2002-10-18T10:43:15
IM/JO/424,JO,424,T/JO/1463,false,,,,Stirling,false,,jhm,2002-07-03T11:00:44,jhm,2002-10-18T10:42:53
IM/JO/425,JO,425,T/JO/1464,false,,,,Stirling,false,,jhm,2002-07-03T11:04:39,jhm,2002-10-18T10:42:35
IM/JO/426,JO,426,T/JO/1471,false,5/1658,1958-05-01T00:00:00,,Alloa,false,,jhm,2002-07-04T11:21:42,jhm,2002-07-04T11:26:25
IM/JO/427,JO,427,T/LA/1296,false,6/1658,1958-06-01T00:00:00,,Alloa,false,,jhm,2002-07-04T12:25:24,jhm,2002-07-04T12:25:36
IM/JO/428,JO,428,T/LA/1295,false,6/1658,1958-06-01T00:00:00,,Alloa,false,,jhm,2002-07-04T13:43:27,jhm,2002-07-04T13:43:37
IM/JO/429,JO,429,T/LA/1294,false,6/1658,1958-06-01T00:00:00,,Alloa,false,,jhm,2002-07-04T14:04:09,jhm,2002-07-04T14:04:18
IM/JO/43,JO,43,T/JO/133,false,,,,Haddington,false,,jhm,2001-06-18T09:17:24,jhm,2002-10-11T16:45:08
IM/JO/430,JO,430,T/JO/1487,false,6/1658,1958-06-01T00:00:00,,Alloa,false,,jhm,2002-07-04T15:14:05,jhm,2002-07-04T15:14:13
IM/JO/431,JO,431,T/JO/1497,false,4/1597,1997-04-01T00:00:00,Tolbooth,Aberdeen,false,,jhm,2002-07-09T12:03:10,jhm,2002-07-09T12:03:23
IM/JO/432,JO,432,T/JO/1514,false,,,,Corstorphine,false,Died,jhm,2002-07-11T10:28:44,LEM,2002-10-28T13:07:36
IM/JO/433,JO,433,T/JO/1515,false,6/1649,2049-06-01T00:00:00,,Corstorphine,false,,jhm,2002-07-11T11:06:41,jhm,2002-07-11T11:07:00
IM/JO/434,JO,434,T/JO/1532,false,,,,Corstorphine,false,,jhm,2002-07-11T13:41:46,LEM,2002-10-28T13:05:32
IM/JO/435,JO,435,T/JO/1534,false,9/1649,2049-09-01T00:00:00,,Corstorphine,false,,jhm,2002-07-11T15:05:27,jhm,2002-07-11T15:05:38
IM/JO/436,JO,436,T/JO/1535,false,,,,Dunfermline,false,,jhm,2002-07-11T16:02:29,LEM,2002-10-28T13:07:57
IM/JO/437,JO,437,T/JO/1536,false,12/1649,2049-12-01T00:00:00,,Dunfermline,false,,jhm,2002-07-11T16:13:15,jhm,2002-07-11T16:13:23
IM/JO/438,JO,438,T/JO/1537,false,1649,2049-06-01T00:00:00,,Dunfermline,false,,jhm,2002-07-11T16:15:57,jhm,2002-07-11T16:16:50
IM/JO/439,JO,439,T/JO/1317,false,,,Tolbooth,Aberdeen,false,,jhm,2002-07-18T12:32:11,jhm,2002-10-18T10:49:16
IM/JO/44,JO,44,T/JO/134,false,,,,Haddington,false,,jhm,2001-06-18T09:23:08,jhm,2002-10-11T16:45:27
IM/JO/45,JO,45,T/JO/138,false,10/1649,2049-10-01T00:00:00,Tolbooth,Stenton,false,Escaped,jhm,2001-06-18T10:01:18,jhm,2001-06-18T10:01:43
IM/JO/451,JO,451,T/JO/1641,false,,,,,false,Released,jhm,2002-07-22T14:27:13,jhm,2002-10-18T10:42:14
IM/JO/452,JO,452,T/JO/1642,false,,,,,false,,jhm,2002-07-22T14:31:53,jhm,2002-10-18T10:41:54
IM/JO/453,JO,453,T/JO/1643,false,,,,,false,,jhm,2002-07-22T14:36:25,jhm,2002-10-18T10:41:49
IM/JO/454,JO,454,T/JO/1644,false,,,,,false,,jhm,2002-07-22T14:40:53,jhm,2002-10-18T10:41:32
IM/JO/455,JO,455,T/JO/1645,false,,,,,false,,jhm,2002-07-22T14:45:49,jhm,2002-10-18T10:41:14
IM/JO/456,JO,456,T/JO/1646,false,,,,,false,,jhm,2002-07-22T14:49:09,jhm,2002-10-18T10:40:44
IM/JO/457,JO,457,T/JO/1647,false,,,,,false,,jhm,2002-07-22T14:51:44,jhm,2002-10-18T10:40:27
IM/JO/458,JO,458,T/JO/1648,false,,,,,false,,jhm,2002-07-22T14:54:54,jhm,2002-10-18T10:40:08
IM/JO/459,JO,459,T/JO/1649,false,12/1649,2049-12-01T00:00:00,,,false,,jhm,2002-07-22T14:57:28,jhm,2002-07-22T14:57:32
IM/JO/46,JO,46,T/JO/146,false,,,,Haddington,false,,jhm,2001-06-18T12:11:03,jhm,2002-10-11T16:46:35
IM/JO/460,JO,460,T/JO/1650,false,,,,,false,,jhm,2002-07-22T15:01:30,jhm,2002-10-18T10:39:25
