whitemagicref,whitemagicsystemid,whitemagicid,caseref,whitemagic_type,createdby,createdate,lastupdatedby,lastupdatedon
WM/LA/25,LA,25,C/EGD/1293,Prophesy,LEM,2001-10-22T16:03:15,LEM,2001-10-22T16:03:17
WM/LA/26,LA,26,C/EGD/1284,Protective,LEM,2001-10-23T10:10:24,LEM,2001-10-23T10:10:30
WM/LA/27,LA,27,C/EGD/785,Prophesy,LEM,2001-11-26T15:55:02,LEM,2001-11-26T15:55:05
WM/LA/28,LA,28,C/EGD/790,Protective,LEM,2001-11-30T11:52:36,LEM,2001-11-30T11:52:39
WM/LA/32,LA,32,C/EGD/1777,Spirit Medium,LEM,2002-01-31T10:00:46,LEM,2002-01-31T10:00:51
WM/LA/33,LA,33,C/EGD/1094,Love magic,LEM,2002-05-02T16:03:38,LEM,2002-05-02T16:03:51
WM/LA/45,LA,45,C/LA/3044,Divination,LEM,2002-06-17T15:13:44,LEM,2002-06-17T15:13:55
WM/LA/46,LA,46,C/EGD/2264,Love magic,LEM,2002-06-19T11:09:58,LEM,2002-06-19T11:09:59
WM/LA/47,LA,47,C/EGD/2264,Protective,LEM,2002-06-19T11:10:03,LEM,2002-06-19T11:10:14
WM/LA/48,LA,48,C/EGD/2212,Divination,LEM,2002-06-19T12:08:30,LEM,2002-06-19T12:08:31
WM/LA/49,LA,49,C/EGD/2212,Second Sight,LEM,2002-06-19T12:08:32,LEM,2002-06-19T12:08:35
WM/LA/5,LA,5,C/EGD/54,Prophesy,LEM,2001-10-08T14:51:05,jhm,2001-11-07T11:30:36
WM/LA/50,LA,50,C/EGD/2257,Second Sight,LEM,2002-06-19T16:09:39,LEM,2002-06-19T16:09:40
WM/LA/51,LA,51,C/EGD/2257,Divination,LEM,2002-06-19T16:11:14,LEM,2002-06-19T16:11:16
WM/LA/52,LA,52,C/EGD/2255,Protective,LEM,2002-06-19T16:18:29,LEM,2002-06-19T16:18:32
WM/LA/53,LA,53,C/EGD/2255,Second Sight,LEM,2002-06-19T16:23:37,LEM,2002-06-19T16:23:38
WM/LA/54,LA,54,C/EGD/2256,Divination,LEM,2002-06-20T12:02:55,LEM,2002-06-20T12:02:57
WM/LA/58,LA,58,C/EGD/317,Diagnose Bewitchment,LEM,2002-07-18T09:23:57,LEM,2002-07-18T09:24:06
WM/LA/6,LA,6,C/EGD/59,Opening Lock,LEM,2001-10-09T09:40:44,LEM,2001-10-09T09:40:50
WM/LA/7,LA,7,C/EGD/59,Astrology,LEM,2001-10-09T09:49:16,LEM,2001-10-09T09:49:19
WM/LA/70,LA,70,C/EGD/597,Diagnose Bewitchment,LEM,2002-08-28T11:29:24,LEM,2002-08-28T11:29:27
WM/LA/72,LA,72,C/LA/3135,Protective,LEM,2002-09-12T12:34:05,LEM,2002-09-12T12:34:09
WM/LA/73,LA,73,C/EGD/1998,Finding lost goods,LEM,2002-09-17T14:56:22,LEM,2002-09-17T14:56:25
WM/LA/76,LA,76,C/EGD/59,Love magic,LEM,2002-11-07T14:33:55,LEM,2002-11-07T14:33:56
WM/LA/8,LA,8,C/EGD/63,Prophesy,LEM,2001-10-09T10:31:42,LEM,2001-10-09T10:31:44
WM/LA/9,LA,9,C/EGD/103,Love magic,LEM,2001-10-10T13:26:48,LEM,2001-10-10T13:26:50
